customer_id,customer_name,orders,sales,profit,profit_margin
AA-10315,Alex Avila,5,5563.56,-362.8825,-0.06522487400153858
AA-10375,Allen Armold,9,1056.39,277.3824,0.26257575327293897
AA-10480,Andrew Allen,4,1790.5120000000002,435.8274,0.24340937117427863
AA-10645,Anna Andreadi,6,5086.9349999999995,857.8033,0.16862871257446777
AB-10015,Aaron Bergman,3,886.156,129.3465,0.14596357751908243
AB-10060,Adam Bellavance,8,7755.62,2054.5885,0.26491608665715954
AB-10105,Adrian Barton,10,14473.570999999998,5444.8055,0.3761895043040865
AB-10150,Aimee Bixby,5,966.71,313.6597,0.3244610069203794
AB-10165,Alan Barnes,8,1113.838,220.813,0.19824516671185577
AB-10255,Alejandro Ballentine,9,914.5319999999999,264.5675,0.2892927748837657
AB-10600,Ann Blume,4,1515.862,-274.9604,-0.18138880716054626
AC-10420,Alyssa Crouse,3,925.8,-62.1342,-0.06711406351263773
AC-10450,Amy Cox,7,5527.846,1366.0098,0.2471143009410899
AC-10615,Ann Chong,5,2537.6859999999997,298.8273,0.11775582164223627
AC-10660,Anna Chung,5,657.316,-28.700399999999995,-0.04366301748321963
AD-10180,Alan Dominguez,8,6106.88,1869.9294,0.3062004493292811
AF-10870,Art Ferguson,7,2052.908,317.9712,0.1548881878778786
AF-10885,Art Foster,4,861.565,-163.1175,-0.18932698055283118
AG-10270,Alejandro Grove,5,2582.898,732.7399,0.2836890577947716
AG-10300,Aleksandra Gannaway,4,367.548,59.288399999999996,0.1613079108034869
AG-10330,Alex Grayson,5,660.972,-5.137100000000006,-0.00777203875504561
AG-10390,Allen Goldenen,5,200.945,69.2784,0.3447629948493369
AG-10495,Andrew Gjertsen,8,2356.855,295.6668,0.12544972007187546
AG-10525,Andy Gerbode,4,1455.038,-152.7613,-0.10498784224192083
AG-10675,Anna Gayman,7,3489.0396000000005,-246.42570000000003,-0.07062851909161479
AG-10765,Anthony Garverick,4,170.584,-8.431000000000001,-0.049424330535102944
AG-10900,Arthur Gainer,10,4510.797,343.6824,0.07619105891929963
AH-10030,Aaron Hawkins,7,1744.7,365.2152,0.20932836590817905
AH-10075,Adam Hart,10,3250.337,281.189,0.08651072181130758
AH-10120,Adrian Hane,7,1735.5140000000001,-2.3145999999999773,-0.0013336682965392253
AH-10195,Alan Haines,4,1587.452,-378.5509,-0.23846447010681268
AH-10210,Alan Hwang,9,4805.344,1308.5546,0.2723123672311493
AH-10465,Amy Hunt,5,2495.3916,-196.12009999999998,-0.0785929150358605
AH-10585,Angele Hood,4,738.504,83.96300000000001,0.11369335846522159
AH-10690,Anna Häberlin,12,7888.294,1298.0166,0.1645497239327033
AI-10855,Arianne Irving,10,4375.786,867.7271000000001,0.19830199648703115
AJ-10780,Anthony Jacobs,7,4867.344,150.71300000000005,0.030964115131373506
AJ-10795,Anthony Johnson,7,4501.391,1158.7064,0.25741074259045704
AJ-10945,Ashley Jarboe,7,1839.24,521.1351999999999,0.2833426850220743
AJ-10960,Astrea Jones,3,629.2479999999999,60.4265,0.0960297052990236
AM-10360,Alice McCarthy,5,814.012,194.9878,0.2395392205520312
AM-10705,Anne McFarland,8,5664.022,1085.7326,0.19168933312759026
AO-10810,Anthony O'Donnell,1,161.28,12.096,0.075
AP-10720,Anne Pryor,8,1638.554,285.7888,0.17441524661378263
AP-10915,Arthur Prichep,10,3323.556,579.3113,0.1743046604299732
